CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,Condition,Time,Session,IndicatedTrial,LatencyFirstLand,LatencyFirstLand2,LatencyFirstLandSummedAcrossCol_L_andCol_M,Total seconds in pt1 video (from when experimenter leaves view),"LatencyFirstTimeWithin20cmOfObject (pt2 latency starts at p2 video, so need to add total time of pt1 video to total)",LatencyFirstTimeWithin20cmOfObject (pt2 latency starts from pt1 beginning),LatencyFirstTouchToObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView(sec),ClosestDistanceToApparatus,TrialEndTimeStamp,TrialDuration,Notes
2021-02-01,AJB,A087AG 2020-01-22 ExploreObj Time2 Novel T1 (pt. 1),2020-01-22,MM,A087AG,Object,Novel,2,n/a,1,271.40,271.40,,,n/a,,n/a,n/a,n/a,n/a,334.40,1694.40,Far,,2028.60,
2021-02-01,AJB,A087AG 2020-01-22 ExploreObj Time2 Novel T1 (pt. 2),2020-01-22,MM,A087AG,Object,Novel,2,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,690.60,OutOfView,,690.60,No solomon output excel file b/c nothing happened
2021-02-02,AJB,A088YR 2020-03-01 ExploreEnv Time1 Familiar T1 (pt. 1),2020-03-01,KM,A088YR,Environment,Familiar,1,n/a,1,190.60,190.60,,,223.00,,n/a,223.20,42.80,4.60,384.80,1671.00,Near,,2103.00,
2021-02-02,AJB,A088YR 2020-03-01 ExploreEnv Time1 Familiar T1 (pt. 2),2020-03-01,KM,A088YR,Environment,Familiar,1,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,648.20,OutOfView,,648.20,No solomon output excel file b/c nothing happened
2021-02-02,AJB,A088YR 2020-03-01 ExploreEnv Time1 Novel T1 (pt. 1),2020-03-01,KM,A088YR,Environment,Novel,1,n/a,1,1462.00,1462.00,,,n/a,2701,n/a,n/a,n/a,n/a,125.40,1932.00,Far,,2057.20,
2021-02-02,AJB,A088YR 2020-03-01 ExploreEnv Time1 Novel T1 (pt. 2),2020-03-01,KM,A088YR,Environment,Novel,1,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,655.60,OutOfView,,655.60,No solomon output excel file b/c nothing happened
2021-02-03,AJB,A088YR 2020-04-15 ExploreEnv Time2 Familiar T1 (pt. 1),2020-04-15,MM,A088YR,Environment,Familiar,2,n/a,1,1422.60,1422.60,,,1440.20,,n/a,1440.80,1.60,34.80,468.80,1546.40,Near,,2051.40,
2021-02-03,AJB,A088YR 2020-04-15 ExploreEnv Time2 Familiar T1 (pt. 2),2020-04-15,MM,A088YR,Environment,Familiar,2,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,OutOfView,,677.80,No solomon output excel file b/c nothing happened
2021-02-03,AJB,A088YR 2020-04-15 ExploreEnv Time2 Novel T1 (pt. 1),2020-04-15,MM,A088YR,Environment,Novel,2,n/a,1,1399.40,1399.40,,,n/a,2701,n/a,n/a,n/a,n/a,178.00,1823.60,Far,,2001.40,
2021-02-03,AJB,A088YR 2020-04-15 ExploreEnv Time2 Novel T1 (pt. 2),2020-04-15,MM,A088YR,Environment,Novel,2,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,721.20,OutOfView,,721.20,No solomon output excel file b/c nothing happened
