CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Name,Test,Condition,Item,Time,Session,LatencyFirstLandingOnFloor,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToFood,LatencyFirstTouchToApparatus,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,TotalTouchesToApparatus,MotorActionsUsed,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
3/15/21,KM,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,1/29/19,KM,A023OY,Chimichanga,Boldness,2,C1,1,1,900,n/a,n/a,n/a,n/a,60,n/a,Far,1200,n/a,n/a,n/a,"30m away, in view for 1min"
3/15/21,KM,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,1/29/19,KM,A021-K,Pico,Boldness,3,C1,1,1,900,n/a,n/a,n/a,n/a,n/a,n/a,n/a,600,n/a,n/a,n/a,Not around for Trial 3
3/15/21,KM,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,1/29/19,KM,A026PP,Jamaica,Boldness,3,C1,1,1,900,n/a,n/a,n/a,n/a,n/a,n/a,n/a,600,n/a,n/a,n/a,Not around for Trial 3
3/15/21,KM,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,1/29/19,KM,A023OY,Chimichanga,Boldness,3,C1,1,1,900,n/a,n/a,n/a,n/a,n/a,n/a,n/a,600,n/a,n/a,n/a,Not around for Trial 3
3/8/21,KM,"A051KG, A058BS 2019-12-11 Boldness Time1 C2 T1-T3",12/11/19,KM,A051KG,Cemita,Boldness,2,C2,1,1,720,n/a,n/a,n/a,n/a,240,1020,Far,1260,n/a,n/a,n/a,Approached to 4m from pigeon
3/8/21,KM,"A051KG, A058BS 2019-12-11 Boldness Time1 C2 T1-T3",12/11/19,KM,A058BS,Crema,Boldness,2,C2,1,3,480,n/a,n/a,n/a,n/a,660,600,Far,1260,n/a,n/a,n/a,Approached to 4m from pigeon
3/8/21,KM,"A051KG, A058BS 2019-12-19 Boldness Time1 C1 T1-T3",12/19/19,KM,A051KG,Cemita,Boldness,1,C1,1,1,600,n/a,600,n/a,12,111,777,n/a,900,n/a,n/a,n/a,
3/8/21,KM,"A051KG, A058BS 2019-12-19 Boldness Time1 C1 T1-T3",12/19/19,KM,A058BS,Crema,Boldness,1,C1,1,1,600,n/a,840,n/a,n/a,n/a,n/a,n/a,900,n/a,n/a,n/a,
3/8/21,KM,"A051KG, A058BS 2019-12-19 Boldness Time1 C1 T1-T3",12/19/19,KM,A051KG,Cemita,Boldness,2,C1,1,1,900,n/a,n/a,n/a,n/a,10,890,Far,900,n/a,n/a,n/a,8m away - alarm called and flew off when I setup cat
3/8/21,KM,"A051KG, A058BS 2019-12-19 Boldness Time1 C1 T1-T3",12/19/19,KM,A058BS,Crema,Boldness,2,C1,1,1,900,n/a,n/a,n/a,n/a,10,890,Far,900,n/a,n/a,n/a,8m away - alarm called and flew off when I setup cat
3/8/21,KM,A021-K 2019-3-27 Boldness Time1 C2,3/27/19,KM,A021-K,Pico,Boldness,2,C2,1,4,900,n/a,n/a,n/a,n/a,960,540,Far,1500,n/a,n/a,n/a,Pico around but >10m away
3/8/21,KM,A021-K 2019-3-27 Boldness Time1 C2,3/27/19,KM,A021-K,Pico,Boldness,3,C2,1,4,900,n/a,n/a,n/a,n/a,n/a,n/a,n/a,600,n/a,n/a,n/a,Pico around but >10m away
