Name,BirdID,Condition,Test,SumTouches,TotTime,TotalMot,UniqueMot,Notes,
Pizza,A088YR,CON,MABlogNFun,19,7330,8,"GrabHorz, PeckHorz, PullHorz, StandOnTop, PeckOnTop, PeckVert, GrabVert, PullHorz",,
Pizza,A088YR,CON,MABplasFun,0,11453,0,0,,
Pizza,A088YR,CON,MABplasNFun,0,11453,0,0,,
Pollito,A096NS,Manip,Environment,0,5438.4,0,0,,
Pollito,A096NS,Manip,Object,0,5438,0,0,,
Pollito,A096NS,Manip,Boldness,0,3641.4,0,0,,
Pollito,A096NS,Manip,MABlogFun,51,5903,11,,,
Pollito,A096NS,Manip,MABlogNFun,51,5903,11,,,
Pollito,A096NS,Manip,MABplasFun,0,10817,0,0,,
Pollito,A096NS,Manip,MABplasNFun,0,10817,0,0,,
Queso,A031-Y,CON,Environment,0,5422.6,0,0,,
Queso,A031-Y,CON,Object,0,5546.8,0,0,,
Queso,A031-Y,CON,Boldness,0,3717.4,0,0,,
Queso,A031-Y,CON,MABlogFun,NA,NA,NA,,,
Queso,A031-Y,CON,MABlogNFun,NA,NA,NA,,,
Queso,A031-Y,CON,MABplasFun,51,19819,10,,,
Queso,A031-Y,CON,MABplasNFun,29,19819,10,,,
Taco,A070KP,CON,Environment,51,5483.8,13,"StandOnTop, PeckOnTop, PeckUpDown, GapeUpDown, PeckVert, GapeOnTop, PushHorz, GrabVert, PullHorz, GrabHorz, PushUpDown, PushVert, PullVert",,
Taco,A070KP,CON,Object,0,5419.8,0,0,,
Taco,A070KP,CON,Boldness,0,3667.2,0,0,,
Taco,A070KP,CON,MABlogFun,51,3045,19,,,
Taco,A070KP,CON,MABlogNFun,51,3045,19,,,
Taco,A070KP,CON,MABplasFun,4,8728,2,"PullHorz, PeckHorz",,
Taco,A070KP,CON,MABplasNFun,2,8728,2,"PullHorz, PeckHorz",,
Tapa,A042GY,CON,Environment,0,5424.6,0,0,,
Tapa,A042GY,CON,Object,0,5904.2,0,0,,
Tapa,A042GY,CON,Boldness,0,3425.4,0,0,,
Tapa,A042GY,CON,MABlogFun,51,1247,11,,,
Tapa,A042GY,CON,MABlogNFun,8,1247,11,,,
Tapa,A042GY,CON,MABplasFun,51,36668,12,"PeckHorz, GrabHorz, GrabVert, PullHorz, PeckVert, PushHorz, PushVert, GrabUpDown, PullVert, PullUpDown, GapeUpDown, PushUpDown",,
Tapa,A042GY,CON,MABplasNFun,51,36668,12,"PeckHorz, GrabHorz, GrabVert, PullHorz, PeckVert, PushHorz, PushVert, GrabUpDown, PullVert, PullUpDown, GapeUpDown, PushUpDown",,
Taquito,A007-S,CON,Environment,0,5511.4,0,0,,
Taquito,A007-S,CON,Object,0,5426,0,0,,
Taquito,A007-S,CON,Boldness,0,3678.8,0,0,,
Taquito,A007-S,CON,MABlogFun,51,1922,10,"PeckHorz, PeckVert, GapeVert, PushVert, GrabVert, PullVert, PullHorz, PushHorz, GapeHorz, GrabHorz",,
Taquito,A007-S,CON,MABlogNFun,2,1922,10,"PeckHorz, PeckVert, GapeVert, PushVert, GrabVert, PullVert, PullHorz, PushHorz, GapeHorz, GrabHorz",,
Taquito,A007-S,CON,MABplasFun,3,5531,11,"PeckHorz, PeckVert, GapeVert, PushVert, PushHorz, GapeHorz, GrabHorz, PullHorz, GrabVert, PullVert, StandOnTop",,
Taquito,A007-S,CON,MABplasNFun,51,5531,11,"PeckHorz, PeckVert, GapeVert, PushVert, PushHorz, GapeHorz, GrabHorz, PullHorz, GrabVert, PullVert, StandOnTop",,
Tomatillo,A022-N,CON,Environment,15,5704.2,5,"StandOnTop, PeckVert, PeckHorz, PullVert, GrabHorz",,
Tomatillo,A022-N,CON,Object,0,5439.8,0,0,,
Tomatillo,A022-N,CON,Boldness,0,4408.8,0,0,,
Tomatillo,A022-N,CON,MABlogFun,NA,NA,NA,,,
Tomatillo,A022-N,CON,MABlogNFun,NA,NA,NA,,,
Tomatillo,A022-N,CON,MABplasFun,51,19161,13,,"Persistence numbers not the same in Exp_mot, MotSum",
Tomatillo,A022-N,CON,MABplasNFun,51,19161,13,,"Persistence numbers not the same in Exp_mot, MotSum",
Yuca,A087AG,CON,Environment,0,5424,0,0,,
Yuca,A087AG,CON,Object,0,5433,0,0,,
Yuca,A087AG,CON,Boldness,0,3806,0,0,,
Yuca,A087AG,CON,MABlogFun,51,1496,17,,,
Yuca,A087AG,CON,MABlogNFun,51,1496,17,,,
Yuca,A087AG,CON,MABplasFun,51,8053,13,,,
Yuca,A087AG,CON,MABplasNFun,51,8053,13,,,
