Bird,Experiment,NoMotorActionsCoder1,NoMotorActionsCoder2,Action,ActionPresentCoder1,ActionPresentCoder2,MotCoder1,MotCoder2
Mole,Boldness,,,PushVert,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,PushHorz,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,PushUpDown,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,PushOnTop,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,PullVert,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,PullHorz,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,PullUpDown,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,PullOnTop,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,GrabVert,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,GrabHorz,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,GrabUpDown,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,GrabOnTop,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,GapeVert,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,GapeHorz,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,GapeUpDown,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,GapeOnTop,No,No,Vincent Kiepsch,Alexis Breen
Mole,Boldness,,,StandOnTop,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,MAB Plastic,14,14,PeckVert,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,PeckHorz,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,PeckUpDown,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,PeckOnTop,No,No,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,PushVert,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,PushHorz,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,PushUpDown,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,PushOnTop,No,No,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,PullVert,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,PullHorz,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,PullUpDown,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,PullOnTop,No,No,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,GrabVert,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,GrabHorz,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,GrabUpDown,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,GrabOnTop,No,No,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,GapeVert,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,GapeHorz,No,No,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,GapeUpDown,Yes,Yes,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,GapeOnTop,No,No,Sierra Planck,Alexis Breen
Mole,MAB Plastic,,,StandOnTop,No,No,Sierra Planck,Alexis Breen
Mole,MAB Log,14,15,PeckVert,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,PeckHorz,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,PeckUpDown,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,PeckOnTop,No,No,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,PushVert,No,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,PushHorz,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,PushUpDown,Yes,No,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,PushOnTop,No,No,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,PullVert,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,PullHorz,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,PullUpDown,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,PullOnTop,No,No,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,GrabVert,No,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,GrabHorz,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,GrabUpDown,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,GrabOnTop,No,No,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,GapeVert,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,GapeHorz,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,GapeUpDown,Yes,Yes,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,GapeOnTop,No,No,Vincent Kiepsch,Sierra Planck
Mole,MAB Log,,,StandOnTop,Yes,Yes,Vincent Kiepsch,Sierra Planck
Habanero,Exploration Environment,0,0,PeckVert,No,No,Vincent Kiepsch,Alexis Breen
Habanero,Exploration Environment,,,PeckHorz,No,No,Vincent Kiepsch,Alexis Breen
Habanero,Exploration Environment,,,PeckUpDown,No,No,Vincent Kiepsch,Alexis Breen
Habanero,Exploration Environment,,,PeckOnTop,No,No,Vincent Kiepsch,Alexis Breen
Habanero,Exploration Environment,,,PushVert,No,No,Vincent Kiepsch,Alexis Breen
Habanero,Exploration Environment,,,PushHorz,No,No,Vincent Kiepsch,Alexis Breen
