"","Bird.Name","Intercept","Latency","Duration","Sex","History","Breeding.Sites","Food.Sites","SMI","Group.Size","Season2","MeanLFV","SigmaLFV","Site"
"25","Cuervo",1,0.364021994839528,0.0398342662534522,1,-1.1685652701087,0.174989433324267,0.567120821389311,0.455835643192506,0.595451990160692,1,0.147154134843989,1.74467651995163,"CA"
"26","Cutuy",1,-0.54459724839957,0.266719904467842,0,-0.985260914013215,0.641627922188977,1.09939064258151,-1.17754370978251,0.187142054050503,1,-0.54162395163448,1.60807050222902,"CA"
"27","Dulce",1,-0.39684807954373,-0.448313622025992,1,-0.801956557917733,1.5749048999184,-0.345341729225893,1.29015272265364,-0.221167882059686,0,-0.389299040891028,1.55267119159574,"CA"
"28","Galandra",1,-1.16967032421309,2.06893581702861,0,0.0534637705278489,-0.758287544405155,0.871275004927712,-1.51939488851735,2.63700167071163,1,-0.261666315584592,1.76162710877931,"CA"
"29","Helado",1,2.1509986033593,-0.772864095959707,1,0.48117393475064,-0.291649055540444,-0.953650096302696,1.03261409377257,-0.629477818169874,0,-0.925890415061621,1.21935344465696,"CA"
"30","Kau",1,-1.05955777668369,3.67018076800087,1,-0.313144941663115,-0.758287544405155,-0.573457366879694,0.346716894847832,0.595451990160692,1,-0.519617972325569,1.44088181959547,"CA"
"31","Kel",1,0.654942905633127,-0.517595716678871,0,0.114565222559676,2.50818187764782,1.09939064258151,-1.18013209080052,1.41207186238107,1,-0.385748288225263,1.61953345559638,"CA"
"32","Pina",1,2.25780523144786,-0.800012804805873,0,1.27549281116439,-0.758287544405155,0.643159367273911,-1.09944855678219,1.41207186238107,1,-0.505923621337962,1.70210487190636,"CA"
"33","Polvorones",1,-0.450251393588009,0.0329589438833193,1,2.00871023554632,1.5749048999184,1.70769900965832,0.595156572089083,-0.629477818169874,0,-0.0117998746737653,1.70612923270692,"CA"
"34","Quiscalus",1,-0.614275858152582,-0.387493462597892,0,-0.86305800994956,-0.758287544405155,0.0348510001971084,-1.56598046443117,-0.221167882059686,1,-0.164017698449475,1.79062712698936,"CA"
"35","Sopapilla",1,-0.594186040012115,-0.605564584953137,0,-0.801956557917733,0.641627922188977,1.09939064258151,-1.28864072076238,-1.03778775428006,1,-0.181161276540208,1.62899169938996,"CA"
"36","Talingo",1,0.529063665385897,-0.142273631396481,1,-0.86305800994956,-0.758287544405155,-0.117226091572092,0.410063558455777,-1.03778775428006,1,-0.292753067127715,1.76375577041549,"CA"
"37","Tembleque",1,-0.28546402453709,-0.0174600868309896,1,2.00871023554632,1.5749048999184,-0.421380275110494,0.286840774768107,-0.221167882059686,0,0.291749302462812,1.58634514854323,"CA"
"38","Tzanatl",1,-0.692600718750859,0.00880717042926228,0,0.175666674591503,-0.758287544405155,-0.573457366879694,-1.08854037963489,0.187142054050503,1,-0.849985985894035,1.42790368000369,"CA"
"39","Urraca",1,-0.424058339556768,-0.623722487622975,1,-0.985260914013215,-0.758287544405155,0.262966637850909,0.600090343254012,0.187142054050503,1,-0.899372588545135,1.34080633809189,"CA"
"40","Wachil",1,0.269930441523417,-0.454483783127393,0,-0.00763768150397841,-0.758287544405155,1.47958337200451,-1.58532623545613,0.595451990160692,1,-0.0554995036711157,1.74149581008506,"CA"
"41","Xango",1,-0.551463388776692,-0.00229911955326031,1,2.13091313960998,0.174989433324267,-0.953650096302696,0.868935971255561,-1.44609769039025,0,-0.0390772441885786,1.55348792500733,"CA"
"42","Xunub",1,-0.934695742418259,0.991273108089552,1,0.236768126623331,-0.291649055540444,1.09939064258151,0.541643115144429,-1.03778775428006,1,0.0584719015617316,1.93662113890518,"CA"
"43","Zapote",1,0.691562320977776,-0.588640714503579,1,0.847782646941603,1.10826641105369,-0.269303183341293,1.54539086187483,-0.221167882059686,0,-0.654565715856416,1.53024173626422,"CA"
