CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,Condition,Time,Session,IndicatedTrial,LatencyFirstLand,LatencyFirstLand2,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView(sec),TrialEndTimeStamp,TotalTouchesToApparatusPerVideo,TotalTouchesToApparatusXVideos,MotorActionsUsed,ClosestDistanceToApparatus,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
2020-11-02,AJB,A035P- 2018-12-28 ExploreObj Time1 Familiar T1,2018-12-28,LB,A035P,Object,Familiar,1,n/a,1,4.80,4.80,5.80,8.00,n/a,n/a,76.40,1216.40,1468.00,2760.60,14,n/a,"PeckVert, PeckHorz, PeckUpDown, PeckOnTop, GapeUpDown, StandOnTop",Touch,n/a,
2020-12-16,AJB,A035P- 2018-12-28 ExploreObj Time1 Novel T1,2018-12-28,LB,A035P,Object,Novel,1,n/a,1,671.00,671.00,n/a,n/a,n/a,n/a,n/a,594.60,2134.40,2728.8,n/a,n/a,n/a,Far,n/a,
2020-12-16,AJB,A035P- 2019-2-13 ExploreObj Time2 Familiar T1,2018-02-13,KM,A035P,Object,Familiar,2,n/a,1,7.00,7.00,22.20,57.40,n/a,n/a,108.40,782.40,1899.20,2789.80,8,n/a,n/a,Touch,n/a,
2020-12-17,AJB,A035P- 2019-2-13 ExploreObj Time2 Novel T1,2018-02-13,KM,A035P,Object,Novel,2,n/a,1,16.80,16.80,2589.40,n/a,n/a,n/a,3.60,1637.60,1101.80,2742.80,n/a,22,n/a,Near,6,
2020-12-17,AJB,A036R- 2018-12-27 ExploreEnv Time1 Familiar T1,2018-12-27,CL,A036R,Environment,Familiar,1,n/a,1,152.60,152.60,154.00,n/a,288.60,92.80,505.80,1251.20,862.80,2712.40,n/a,n/a,n/a,Near,n/a,
2020-12-17,AJB,A036R- 2018-12-27 ExploreEnv Time1 Novel T1,2018-12-27,CL,A036R,Environment,Novel,1,n/a,1,234.00,234.00,234.00,n/a,n/a,n/a,193.20,1101.60,1422.60,2717.20,n/a,n/a,n/a,Near,n/a,
2020-12-22,AJB,A036R- 2019-2-12 ExploreEnv Time2 Familiar T1,2019-02-12,KM,A036R,Environment,Familiar,2,n/a,1,125.40,125.40,125.40,n/a,125.40,6.80,13.00,949.60,1622.60,2591.80,n/a,n/a,n/a,Near,n/a,
2020-12-22,AJB,A036R- 2019-2-12 ExploreEnv Time2 Novel T1,2019-02-12,KM,A036R,Environment,Novel,2,n/a,1,336.00,336.00,469.20,n/a,n/a,n/a,18.20,572.00,2110.80,2700.80,n/a,0,n/a,Near,0,
2020-12-22,AJB,A036R- 2018-12-28 ExploreObj Time1 Familiar T1,2018-12-28,LB,A036R,Object,Familiar,1,n/a,1,95.60,95.60,110.80,112.40,n/a,n/a,62.00,1809.60,913.20,2784.60,6,n/a,"PeckVert, StandOnTop",Touch,n/a,
2020-12-23,AJB,A036R- 2018-12-28 ExploreObj Time1 Novel T1,2018-12-28,LB,A036R,Object,Novel,1,n/a,1,207.80,207.80,859.00,n/a,n/a,n/a,16.00,1465.40,1233.60,2714.80,n/a,n/a,n/a,Near,n/a,
2020-12-23,AJB,A036R- 2019-2-13 ExploreObj Time2 Familiar T1,2019-02-13,KM,A036R,Object,Familiar,2,n/a,1,1298.40,1298.40,1438.60,1443.00,n/a,n/a,12.80,1112.80,1588.80,2714.20,1,n/a,n/a,Touch,n/a,
2020-12-23,AJB,A036R- 2019-2-13 ExploreObj Time2 Novel T1,2019-02-13,KM,A036R,Object,Novel,2,n/a,1,1767.60,1767.60,n/a,n/a,n/a,n/a,n/a,278.60,2437.00,2715.40,n/a,7,n/a,Far,2,
2020-12-28,AJB,A042GY 2019-01-29 ExploreEnv Time1 Familiar T1,2019-01-29,LB,A042GY,Environment,Familiar,1,n/a,1,423.60,423.60,1394.00,n/a,n/a,n/a,34.60,89.60,2650.60,2774.60,n/a,n/a,n/a,Near,n/a,
2020-12-28,AJB,A042GY 2019-01-29 ExploreEnv Time1 Novel T1,2019-01-29,LB,A042GY,Environment,Novel,1,n/a,1,617.40,617.40,708.20,n/a,n/a,n/a,6.40,160.60,2543.80,2710.60,n/a,n/a,n/a,Near,n/a,
2020-12-28,AJB,A042GY 2019-3-12 ExploreEnv Time2 Familiar T1,2019-03-12,KM,A042GY,Environment,Familiar,2,n/a,1,1267.20,1267.20,1274.60,n/a,1276.80,8.80,14.00,64.80,2606.00,2693.40,n/a,n/a,n/a,Near,n/a,
2020-12-28,AJB,A042GY 2019-3-12 ExploreEnv Time2 Novel T1,2019-03-12,KM,A042GY,Environment,Novel,2,n/a,1,1950.00,1950.00,2525.60,n/a,n/a,n/a,6.20,72.60,2635.40,2714.00,n/a,0,n/a,Near,0,
2021-01-04,AJB,A042GY 2019-1-24 ExploreObj Familiar T1,2019-01-24,KM,A042GY,Object,Familiar,1,n/a,1,51.40,51.40,1168.40,1169.40,n/a,n/a,14.6,210.00,2548.60,2773.00,6,n/a,PeckVert,Touch,n/a,
2021-01-04,AJB,A042GY 2019-1-24 ExploreObj Novel T1,2019-01-24,KM,A042GY,Object,Novel,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2732.40,2732.40,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
2021-01-04,AJB,A042GY 2019-3-7 ExploreObj Time2 Familiar T1,2019-03-07,KM,A042GY,Object,Familiar,2,n/a,1,182.00,182.00,188.20,n/a,n/a,n/a,24.00,95.80,2594.00,2713.60,n/a,n/a,n/a,Near,n/a,
2021-01-04,AJB,A042GY 2019-3-7 ExploreObj Time2 Novel T1,2019-03-07,KM,A042GY,Object,Novel,2,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3171.80,3171.80,n/a,6,n/a,OutOfView,1,No solomon output excel file b/c nothing happened
2021-01-04,AJB,A044KS 2019-4-8 ExploreEnv Time1 Familiar T1,2019-04-08,KM,A044KS,Environment,Familiar,1,n/a,1,70.60,70.60,595.20,n/a,596.00,9.60,29.40,202.60,2483.80,2725.20,n/a,n/a,n/a,Near,n/a,
2021-01-06,AJB,A044KS 2019-4-8 ExploreEnv Time1 Novel T1,2019-04-08,KM,A044KS,Environment,Novel,1,n/a,1,2393.80,2393.80,n/a,n/a,n/a,n/a,n/a,n/a,2734.20,2734.20,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
2021-01-06,AJB,A044KS 2019-5-20 ExploreEnv Time2 Familiar (ID on white board wrong),2019-05-20,KM,A044KS,Environment,Familiar,2,n/a,1,725.00,725.00,730.60,n/a,742.40,6.40,15.40,283.60,2491.80,2797.00,n/a,n/a,n/a,Near,n/a,
2021-01-06,AJB,A044KS 2019-5-20 ExploreEnv Time2 Novel,2019-05-20,KM,A044KS,Environment,Novel,2,n/a,1,1299.00,1299.00,n/a,n/a,n/a,n/a,n/a,70.00,2657.40,2727.20,n/a,0,n/a,Far,0,
2021-01-06,AJB,A044KS 2019-4-9 ExploreObj Time1 Familiar T1,2019-04-09,KM,A044KS,Object,Familiar,1,n/a,1,245.20,245.20,339.80,n/a,n/a,n/a,1.40,169.40,2552.20,2722.80,n/a,n/a,n/a,Near,n/a,
2021-01-06,AJB,A044KS 2019-4-9 ExploreObj Time1 Novel T1,2019-04-09,KM,A044KS,Object,Novel,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2731.60,2731.60,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
2021-01-06,AJB,A044KS 2019-5-21 ExploreObj Time2 Familiar T1,2019-05-21,KM,A044KS,Object,Familiar,2,n/a,1,1564.60,1564.60,n/a,n/a,n/a,n/a,n/a,392.20,2331.60,2723.60,n/a,n/a,n/a,Far,n/a,
2021-01-07,AJB,A044KS 2019-5-21 ExploreObj Time2 Novel T1,2019-05-21,KM,A044KS,Object,Novel,2,n/a,1,645.20,645.20,n/a,n/a,n/a,n/a,n/a,56.2,2664.80,2720.80,n/a,0,n/a,Far,0,
2021-01-07,AJB,A046NG 2019-05-17 ExploreEnv Time1 Familiar T1,2019-05-17,LB,A046NG,Environment,Familiar,1,n/a,1,33.00,33.00,1380.20,n/a,1381.60,5.40,23.00,753.00,1935.60,2716.80,n/a,n/a,n/a,Near,n/a,
2021-01-07,AJB,A046NG 2019-05-17 ExploreEnv Time1 Novel T1,2019-05-17,LB,A046NG,Environment,Novel,1,n/a,1,953.20,953.20,1068.80,n/a,n/a,n/a,41.80,1145.00,1592.40,2779.00,n/a,n/a,n/a,Near,n/a,
2021-01-08,AJB,A046NG 2019-5-29 ExploreEnv Time2 Familiar T1,2019-05-29,KM,A046NG,Environment,Familiar,2,n/a,1,210.00,210.00,227.20,n/a,234.20,19.80,84.4,445.00,2163.60,2712.60,n/a,n/a,n/a,Near,n/a,
2021-01-08,AJB,A046NG 2019-5-29 ExploreEnv Time2 Novel T1,2019-05-29,KM,A046NG,Environment,Novel,2,n/a,1,270.40,270.40,286.60,n/a,n/a,n/a,33.80,726.20,1944.20,2704.00,n/a,0,n/a,Near,0,
2021-01-08,AJB,A046NG 2019-5-19 ExloreObj Time1 Familiar T1,2019-05-19,KM,A046NG,Object,Familiar,1,n/a,1,134.20,134.20,888.00,n/a,n/a,n/a,2.00,490.00,2107.40,2599.20,n/a,n/a,n/a,Near,n/a,
2021-01-08,AJB,A046NG 2019-5-19 ExploreObj Time1 Novel T1,2019-05-19,KM,A046NG,Object,Novel,1,n/a,1,673.20,673.20,n/a,n/a,n/a,n/a,n/a,651.00,2086.00,2736.80,n/a,n/a,n/a,Far,n/a,
2021-01-08,AJB,A046NG 2019-05-30 ExploreObj Time2 Familiar T1,2019-05-30,LB,A046NG,Object,Familiar,2,n/a,1,128.20,128.20,n/a,n/a,n/a,n/a,n/a,1114.80,1638.00,2752.60,n/a,n/a,n/a,Far,n/a,
2021-01-08,AJB,A046NG 2019-05-30 ExploreObj Time2 Novel T1,2019-05-30,LB,A046NG,Object,Novel,2,n/a,1,1035.00,1035.00,n/a,n/a,n/a,n/a,n/a,857.00,1856.20,2713.00,n/a,0,n/a,Far,0,
2021-01-11,AJB,A064LR 2019-10-30 ExploreEnv Time1 Familiar T1,2019-10-30,MM,A064LR,Environment,Familiar,1,n/a,1,1435.00,1435.00,n/a,n/a,n/a,n/a,n/a,186.60,1885.80,2072.00,n/a,n/a,n/a,Far,n/a,
2021-01-11,AJB,A064LR 2019-10-30 ExploreEnv Time1 Familiar T1 Part2,2019-10-30,MM,A064LR,Environment,Familiar,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,647.20,647.20,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
2021-01-11,AJB,A064LR 2019-10-30 ExploreEnv Time1 Novel T1,2019-10-30,MM,A064LR,Environment,Novel,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020.80,2020.80,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
2021-01-11,AJB,A064LR 2019-10-30 ExploreEnv Time1 Novel T1 Part2,2019-10-30,MM,A064LR,Environment,Novel,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,695.20,695.20,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
2021-01-11,AJB,A064LR 2019-12-12 ExploreEnv Time2 Familiar T1 (pt. 1),2019-12-12,MM,A064LR,Environment,Familiar,2,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2070.60,2070.60,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
2021-01-11,AJB,A064LR 2019-12-12 ExploreEnv Time2 Familiar T1 (pt. 2),2019-12-12,MM,A064LR,Environment,Familiar,2,n/a,1,2257,185.80,726.80,n/a,n/a,n/a,0.20,341.20,550.40,891.60,n/a,n/a,n/a,Near,n/a,
2021-01-12,AJB,A064LR 2019-12-12 ExploreEnv Time2 Novel T1 (pt. 1),2019-12-12,MM,A064LR,Environment,Novel,2,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2046.80,2046.80,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
