VideoFileName,Experiment,Coder1timeentertent,Coder1closestdistancetoapparatus,Coder2timeentertent,Coder2closestdistancetoapparatus,"Notes: coder 1=Alexis, coder 2=Vincent"
A031-Y 2018-12-26 Boldness Time1 C3 T1,Boldness,,n/a,,n/a,
A031-Y 2018-12-26 Boldness Time1 C3 T2,Boldness,,OutOfView,,OutOfView,
A031-Y 2018-12-26 Boldness Time1 C3 T3,Boldness,,n/a,,n/a,
A031-Y 2019-02-03 Boldness Time2 C1 T1,Boldness,,n/a,,n/a,
A031-Y 2019-02-03 Boldness Time2 C1 T2,Boldness,,Far,,Far,
A031-Y 2019-02-03 Boldness Time2 C1 T3,Boldness,,n/a,,n/a,
A031-Y 2019-2-1 Boldness Time2 C2 T1,Boldness,,n/a,,n/a,
A031-Y 2019-2-1 Boldness Time2 C2 T2,Boldness,,OutOfView,,OutOfView,
A031-Y 2019-2-1 Boldness Time2 C2 T3,Boldness,,n/a,,n/a,
A031-Y 2019-01-31 Boldness Time2 C3 T1,Boldness,,n/a,,n/a,
A031-Y 2019-01-31 Boldness Time2 C3 T2,Boldness,,OutOfView,,OutOfView,
A031-Y 2019-01-31 Boldness Time2 C3 T3,Boldness,,n/a,,n/a,
A035P-2018-12-25 Boldness Time1 C1 T1,Boldness,,n/a,,n/a,
A035P-2018-12-25 Boldness Time1 C1 T2,Boldness,,Far,,Far,
A035P-2018-12-25 Boldness Time1 C1 T3,Boldness,,n/a,,n/a,
A035P-2018-12-24 Boldness C2 T1,Boldness,,n/a,,n/a,
A035P-2018-12-24 Boldness C2 T2,Boldness,,Far,,Far,
A035P-2018-12-24 Boldness C2 T3,Boldness,,n/a,,n/a,
A035P-2018-12-22 Boldness C3 T1,Boldness,,n/a,,n/a,
A035P-2018-12-22 Boldness C3 T2,Boldness,,OutOfView,,OutOfView,
A035P-2018-12-22 Boldness C3 T3,Boldness,,n/a,,n/a,
A035P- 2019-2-8 Boldness Time2 C1 T1,Boldness,,n/a,,n/a,
A035P- 2019-2-8 Boldness Time2 C1 T2,Boldness,,OutOfView,,OutOfView,
A035P- 2019-2-8 Boldness Time2 C1 T3,Boldness,,n/a,,n/a,
A035P- 2019-02-10 Boldness Time2 C2 T1,Boldness,,n/a,,n/a,
A035P- 2019-02-10 Boldness Time2 C2 T2,Boldness,,Touch,,Touch,
A035P- 2019-02-10 Boldness Time2 C2 T3,Boldness,,n/a,,n/a,
A035P- 2019-2-11 Boldness Time2 C3 T1,Boldness,,n/a,,n/a,
A035P- 2019-2-11 Boldness Time2 C3 T2,Boldness,,Touch,,Touch,
