ObserverID,Site,FocalID,BirdID,Date,TimeStamp,How,What,FoodType,TimeInViewThisFocalSec,LocationOfFocal,GPSofFocalAtEnd,ForagingTimeStamps,ForagingDuration,TranscriberID,TranscriptionDate,Notes
Corina Logan,BTGR,12,B10PN,2023-12-25,9:54,Pick up,Insect,Insect,340,Lake June Park: Center,"27.3062354, -81.3768848",,,Corina Logan,2023-12-25,Picked up and turned over a leaf
Corina Logan,BTGR,12,B10PN,2023-12-25,9:54,Dig,Worm,Worm,340,Lake June Park: Center,"27.3062354, -81.3768848",,,Corina Logan,2023-12-25,
Corina Logan,BTGR,12,B10PN,2023-12-25,9:56,End,Focal,,340,Lake June Park: Center,"27.3062354, -81.3768848",,,Corina Logan,2023-12-25,
Corina Logan,BTGR,13,B08GK,2023-12-26,9:13,Start,Focal,,67,Lake June Park: NE,"27.3060761, -81.3759939",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,13,B08GK,2023-12-26,9:13,State,Foraging,,67,Lake June Park: NE,"27.3060761, -81.3759939",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,13,B08GK,2023-12-26,9:13,Dig,Insect,Insect,67,Lake June Park: NE,"27.3060761, -81.3759939",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,13,B08GK,2023-12-26,9:13,End,Foraging,,67,Lake June Park: NE,"27.3060761, -81.3759939",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,14,B08GK,2023-12-26,9:23,Start,Focal,,270,Lake June Park: NE,"27.3053676, -81.3766729",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,14,B08GK,2023-12-26,9:23,State,Foraging,,270,Lake June Park: NE,"27.3053676, -81.3766729",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,14,B08GK,2023-12-26,9:24,Gape,Insect,Insect,270,Lake June Park: NE,"27.3053676, -81.3766729",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,14,B08GK,2023-12-26,9:25,Dig,Insect,Insect,270,Lake June Park: NE,"27.3053676, -81.3766729",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,14,B08GK,2023-12-26,9:26,Flip,Insect,Insect,270,Lake June Park: NE,"27.3053676, -81.3766729",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,14,B08GK,2023-12-26,9:27,End,Foraging,,270,Lake June Park: NE,"27.3053676, -81.3766729",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,14,B08GK,2023-12-26,9:27,End,Focal,,270,Lake June Park: NE,"27.3053676, -81.3766729",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,15,B08GK,2023-12-26,9:29,Start,Focal,,358,"Lake June Park: NE, center","27.3052112, -81.3769377",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,15,B08GK,2023-12-26,9:29,State,Foraging,,358,"Lake June Park: NE, center","27.3052112, -81.3769377",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,15,B08GK,2023-12-26,9:30,Lift,Insect,Insect,358,"Lake June Park: NE, center","27.3052112, -81.3769377",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,15,B08GK,2023-12-26,9:31,Lift,Insect,Insect,358,"Lake June Park: NE, center","27.3052112, -81.3769377",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,15,B08GK,2023-12-26,9:35,End,Focal,,358,"Lake June Park: NE, center","27.3052112, -81.3769377",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,16,B10PN,2023-12-26,10:22,Start,Focal,,241,Lake June Park: SW,"27.3048504, -81.3782711",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,16,B10PN,2023-12-26,10:22,State,Foraging,,241,Lake June Park: SW,"27.3048504, -81.3782711",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,16,B10PN,2023-12-26,10:26,End,Focal,,241,Lake June Park: SW,"27.3048504, -81.3782711",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,17,B10PN,2023-12-26,10:42,Start,Focal,,361,"Lake June Park: SE, center","27.3050858, -81.3773354",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,17,B10PN,2023-12-26,10:42,State,Foraging,,361,"Lake June Park: SE, center","27.3050858, -81.3773354",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,17,B10PN,2023-12-26,10:42,Dig,Insect,Insect,361,"Lake June Park: SE, center","27.3050858, -81.3773354",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,17,B10PN,2023-12-26,10:43,Steal,Unknown,Unknown,361,"Lake June Park: SE, center","27.3050858, -81.3773354",,,Corina Logan,2023-12-26,
Corina Logan,BTGR,17,B10PN,2023-12-26,10:43,Catch,Insect,Insect,361,"Lake June Park: SE, center","27.3050858, -81.3773354",,,Corina Logan,2023-12-26,
