"","ID.1","Site","ID.2"
"693","Bacmut Bacni","CA","unbanded adult female72"
"694","Bacmut Bacni","CA","unbanded adult male108"
"696","Bacmut Bacni","CA","unbanded juvenile male8"
"698","Bacmut Bacni","CA","unbanded unknown female7"
"700","Bacmut Bacni","CA","unbanded unknown male1"
"701","Bacmut Bacni","CA","unknown adult male27"
"703","Bacmut Bacni","CA","unknown female30"
"705","Bacmut Bacni","CA","unknown juvenile male2"
"707","Bacmut Bacni","CA","unknown male10"
"709","unbanded adult male109","CA","Xunub"
"711","Tzanatl Preciosa","CA","unbanded adult female112"
"712","Tzanatl Preciosa","CA","unbanded adult male110"
"714","Tzanatl Preciosa","CA","unknown female31"
"717","Cutuy","CA","unbanded adult female83"
"718","Cutuy","CA","unbanded adult male111"
"721","Pina","CA","unbanded adult female98"
"722","Pina","CA","unbanded juvenile female11"
"724","Pina","CA","unbanded juvenile male9"
"726","Pina","CA","unbanded unknown female8"
"728","Quiscalus","CA","unbanded adult female105"
"729","Quiscalus","CA","unbanded adult male112"
"731","Quiscalus","CA","unbanded juvenile male10"
"733","Quiscalus","CA","unbanded unknown female9"
"735","Quiscalus","CA","unknown grackle2"
"10","Taquito","AZ","Tortilla"
"30","Chile","AZ","Mangonada"
"31","Mangonada","AZ","Tapa"
"37","Nacho","AZ","Naranja"
"38","Naranja","AZ","Taquito"
"42","Quesadilla","AZ","Sincronizada"
"48","Naranja","AZ","Taquito"
"71","Fideo","AZ","Tortilla"
"87","Abeja","AZ","Aquaman"
"101","Frijoles","AZ","Tripa"
"118","Aquaman","AZ","Fideo"
"137","Morada","AZ","Taco"
"142","Fideo","AZ","Pepino"
"149","Mixiote","AZ","Pepino"
"154","Torta","AZ","Tortilla"
"161","Morada","AZ","Taco"
"170","Lechuga","AZ","Uva"
"185","Abeja","AZ","Pan Dulce"
"186","Abeja","AZ","Torta"
"187","Abeja","AZ","Tortilla"
"205","Chalupa","AZ","Taco"
"213","Pepino","AZ","Taquito"
"217","Migas","AZ","Pan Dulce"
"221","Chimichanga","AZ","Pozole"
"223","Adobo","AZ","Taco"
"226","Chile","AZ","Crema"
"229","Aquaman","AZ","Fideo"
"230","Fideo","AZ","Naranja"
"234","Adobo","AZ","Burrito"
"244","Chilaquile","AZ","Pico"
"254","Taquito","AZ","Tortilla"
"258","Chimichanga","AZ","Pozole"
"275","Adobo","AZ","Taco"
"285","Adobo","AZ","Burrito"
"286","Adobo","AZ","Chalupa"
"287","Adobo","AZ","Morada"
"295","Adobo","AZ","Taco"
"296","Guapo","AZ","Taco"
"321","Adobo","AZ","Diablo"
"344","Crema","AZ","Paella"
"359","Chilaquile","AZ","Pico"
"365","Chilaquile","AZ","Mangonada"
"366","Crema","AZ","Mangonada"
"408","Cuervo","CA","Wachil"
"422","Camote","CA","Dulce de Leche"
"448","Camote","CA","Cuervo"
"456","Cuervo","CA","Dulce de Leche"
"501","Tembleque","CA","Urraca"
"505","Kau","CA","Wachil"
"540","Tembleque","CA","Tzanatl Preciosa"
"548","Camote","CA","Tembleque"
"564","Bacmut Bacni","CA","Tembleque"
"570","Cutuy","CA","Kel"
"579","Tembleque","CA","Wachil"
"598","Camote","CA","Urraca"
"599","Cuervo","CA","Urraca"
"600","Dulce de Leche","CA","Urraca"
"606","Urraca","CA","Wachil"
"607","Camote","CA","Pina"
"608","Dulce de Leche","CA","Pina"
"618","Pina","CA","Urraca"
"625","Galandra","CA","Pina"
"661","Cutuy","CA","Urraca"
"687","Quiscalus","CA","Xunub"
"716","Cutuy","CA","Tzanatl Preciosa"
"720","Cutuy","CA","Pina"
