Tostada,A014BG,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Naranja,A015OO,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,,Y,Y
Sincronizada,A016RY,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Yerba,A017GR,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Y,
Tortilla,A018BB,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,,Y,Y
Ceviche,A020YG,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,
Pico,A021-K,M,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,,Y,Y
Peggy,A024-O,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Y,
Becky,A027BK,F,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Y,
Roja,A032RR,F,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,,,Y,
Morada,A034PO,F,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Birria,A038PG,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,
Cochinita,A039YR,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Mixiote,A040B-,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Calabazo,A041-O,M,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,
Aquaman,A047AY,M,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,,Y,Y
Ensalada,A048NR,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,Y
Torta,A050,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Cemita,A051KG,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,,Y,Y
Cebollita,A052GA,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,
Pozole,A053PS,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Shakira,A054BN,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Y,Y
Guapo,A055YO,M,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Picante,A056G-,M,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Tripa,A057YA,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Crema,A058BS,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,,Y,Y
Galleta,A059NB,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Ranchera,A060SB,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Y,Y
Mangonada,A061PR,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Pepino,A062AP,M,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,,Y,
Tamale,A063OG,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Y,
Pinto beans,A065PB,F,A?,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Kentucky,A066KY,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,,,,
Conejita,A067GK,F,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Enchilada,A069ON,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Y,Y
Pan Dulce,A071OK,F,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,,Y,Y
Frijoles,A072KB,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,
Migas,A074AL,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Sofrita,A076NP,F,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Y,Y
Tajin,A077RS,F,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Lechuga,A078GS,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,Y
Abeja,A079YL,F,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,
Azucara,A080KS,F,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,
Ahumada Asada,A081LL,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,
Cúrcuma ,A083YK,M,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Uva,A084LP,F,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,,Y,
Limon,A085NY,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Y,
Alma,A095GB,F,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Y,Y
