"","MothersID","DayofYear","NestID","Interval","Fate","MalesIDinTerritory","Year","DayofYear2","FatScore","Experimenter","Body","Body2","Fatbin","Aviary"
"69","Chalupa",20122,"AN020",1,1,"UB","2020",0.430866521736951,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"70","Chalupa",20121,"AN020",2,1,"UB","2020",0.428119203637492,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"71","Chalupa",20119,"AN020",2,1,"UB","2020",0.422624567438573,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"72","Chalupa",19158,"AN067",1,0,"UB","2019",-2.21754812614164,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"73","Chalupa",20108,"AN020",1,1,"UB","2020",0.392404068344523,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"75","Chalupa",20111,"AN020",3,1,"UB","2020",0.400646022642901,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"76","Chalupa",20128,"AN020",1,1,"UB","2020",0.447350430333706,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"77","Chalupa",19161,"AN067",3,0,"UB","2019",-2.20930617184327,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"78","Chalupa",20132,"AN020",3,1,"UB","2020",0.458339702731542,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"79","Chalupa",20138,"AN020",2,1,"UB","2020",0.474823611328297,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"80","Chalupa",20100,"AN020",1,1,"UB","2020",0.37042552354885,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"81","Chalupa",20105,"AN020",1,1,"UB","2020",0.384162114046146,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"83","Chalupa",20099,"AN020",2,1,"UB","2020",0.367678205449391,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"84","Chalupa",20133,"AN020",1,1,"UB","2020",0.461087020831001,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"85","Chalupa",19129,"AN050",3,1,"UB","2019",-2.29722035102596,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"86","Chalupa",20139,"AN020",1,1,"UB","2020",0.477570929427756,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"87","Chalupa",19130,"AN050",1,1,"UB","2019",-2.2944730329265,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"88","Chalupa",19137,"AN050",1,0,"UB","2019",-2.27524180623029,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"89","Chalupa",19162,"AN067",1,0,"UB","2019",-2.20655885374381,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"90","Chalupa",20129,"AN020",1,1,"UB","2020",0.450097748433165,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"91","Chalupa",19136,"AN050",2,0,"UB","2019",-2.27798912432975,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"92","Chalupa",20140,"AN020",1,1,"UB","2020",0.480318247527215,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"93","Chalupa",20148,"AN020",3,0,"UB","2020",0.502296792322888,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"94","Chalupa",20101,"AN020",1,1,"UB","2020",0.373172841648309,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"95","Chalupa",19168,"AN067",3,0,"UB","2019",-2.19007494514705,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"96","Chalupa",20145,"AN020",2,0,"UB","2020",0.494054838024511,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"97","Chalupa",20117,"AN020",6,1,"UB","2020",0.417129931239655,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"98","Chalupa",20150,"AN020",2,0,"UB","2020",0.507791428521806,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"99","Chalupa",19134,"AN050",1,1,"UB","2019",-2.28348376052866,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"100","Chalupa",20134,"AN020",1,1,"UB","2020",0.46383433893046,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"101","Chalupa",20154,"AN020",2,0,"UB","2020",0.518780700919643,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"102","Chalupa",20143,"AN020",1,0,"UB","2020",0.488560201825592,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"103","Chalupa",19126,"AN050",6,1,"UB","2019",-2.30546230532434,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"104","Chalupa",19165,"AN067",3,0,"UB","2019",-2.19831689944543,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"105","Chalupa",19132,"AN050",2,1,"UB","2019",-2.28897839672758,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"106","Chalupa",20136,"AN020",2,1,"UB","2020",0.469328975129379,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"107","Chalupa",19133,"AN050",1,1,"UB","2019",-2.28623107862812,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"108","Chalupa",20152,"AN020",2,0,"UB","2020",0.513286064720725,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"109","Chalupa",20142,"AN020",2,0,"UB","2020",0.485812883726133,1,"KM",94.1701006089541,0.017098506203851,1,"yes"
"111","Chancaca",20175,"AN078",5,1,"UB","2020",0.576474381008284,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"112","Chancaca",20100,"AN015",2,1,"UB","2020",0.37042552354885,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"113","Chancaca",20092,"AN015",2,1,"UB","2020",0.348446978753177,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"114","Chancaca",20170,"AN078",2,1,"UB","2020",0.562737790510989,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"115","Chancaca",20107,"AN015",1,1,"UB","2020",0.389656750245064,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"116","Chancaca",20104,"AN015",4,1,"UB","2020",0.381414795946687,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"117","Chancaca",20177,"AN078",2,0,"UB","2020",0.581969017207203,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"118","Chancaca",20119,"AN015",8,1,"UB","2020",0.422624567438573,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"120","Chancaca",20098,"AN015",1,1,"UB","2020",0.364930887349932,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"121","Chancaca",20111,"AN015",4,1,"UB","2020",0.400646022642901,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"122","Chancaca",20168,"AN078",2,1,"UB","2020",0.55724315431207,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"123","Chancaca",20097,"AN015",4,1,"UB","2020",0.362183569250473,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"124","Chancaca",20106,"AN015",1,1,"UB","2020",0.386909432145605,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"125","Chancaca",20126,"AN015",2,1,"UB","2020",0.441855794134787,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"126","Chancaca",20093,"AN015",1,1,"UB","2020",0.351194296852636,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"127","Chancaca",20105,"AN015",1,1,"UB","2020",0.384162114046146,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"128","Chancaca",20132,"AN015",4,1,"UB","2020",0.458339702731542,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"129","Chancaca",20124,"AN015",3,1,"UB","2020",0.436361157935869,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"130","Chancaca",20128,"AN015",2,1,"UB","2020",0.447350430333706,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"132","Chancaca",20121,"AN015",2,1,"UB","2020",0.428119203637492,1,"KM",84.9436150687872,-1.15285150704706,1,"no"
"133","Chimichanga",19162,"AN066",1,1,"UB","2019",-2.20655885374381,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"134","Chimichanga",19163,"AN066",1,1,"UB","2019",-2.20381153564435,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"135","Chimichanga",19161,"AN066",3,1,"UB","2019",-2.20930617184327,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"136","Chimichanga",19136,"AN049",7,0,"UB","2019",-2.27798912432975,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"138","Chimichanga",19158,"AN066",1,1,"UB","2019",-2.21754812614164,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"139","Chimichanga",19157,"AN066",1,1,"UB","2019",-2.2202954442411,1,"KM",100.653637529965,0.839233226258052,1,"yes"
"140","Chimichanga",19129,"AN049",1,1,"UB","2019",-2.29722035102596,1,"KM",100.653637529965,0.839233226258052,1,"yes"
