CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,AviaryOrWild,Condition,Time,IndicatedTrial,LatencyFirstLandingOnFloor,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToFood,LatencyFirstTouchToApparatus,ApproachedFirst,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,TotalTouchesToApparatus,MotorActionsUsed,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
2020-02-16,AJB,A022-N 2019-01-14 Boldness Time2 C1 T3,2019-01-14,CL,A022-N,Boldness,Aviary,C1,2,3,14.60,n/a,19.80,n/a,n/a,n/a,n/a,n/a,n/a,316.40,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-16,AJB,A022-N 2019-01-15 Boldness Time2 C2 T1,2019-01-15,CL,A022-N,Boldness,Aviary,C2,2,1,0.00,n/a,0.00,n/a,n/a,n/a,n/a,n/a,n/a,24.40,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-16,AJB,A022-N 2019-01-15 Boldness Time2 C2 T2,2019-01-15,CL,A022-N,Boldness,Aviary,C2,2,2,62.00,95.40,95.80,n/a,Food,5.20,539.20,365.60,Near,909.80,n/a,n/a,n/a,
2020-02-16,AJB,A022-N 2019-01-15 Boldness Time2 C2 T3,2019-01-15,CL,A022-N,Boldness,Aviary,C2,2,3,0.00,n/a,0.00,n/a,n/a,n/a,n/a,n/a,n/a,25.00,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-16,AJB,A022-N 2019-01-16 Boldness Time2 C3 T1,2019-01-16,CL,A022-N,Boldness,Aviary,C3,2,1,0.00,n/a,0.00,n/a,n/a,n/a,n/a,n/a,n/a,20.00,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-16,AJB,A022-N 2019-01-16 Boldness Time2 C3 T2,2019-01-16,CL,A022-N,Boldness,Aviary,C3,2,2,721.80,866.40,866.60,n/a,Food,n/a,145.20,764.00,Far,909.00,n/a,n/a,n/a,
2020-02-16,AJB,A022-N 2019-01-16 Boldness Time2 C3 T3,2019-01-16,CL,A022-N,Boldness,Aviary,C3,2,3,0.00,n/a,0.00,n/a,n/a,n/a,n/a,n/a,n/a,18.00,n/a,n/a,0,No Solomon output excel file because not trial 2
2020-02-18,AJB,A025GO 2018-12-22 Boldness C1 T1,2018-12-22,CL,A025GO,Boldness,Aviary,C1,1,1,66.80,n/a,68.60,n/a,n/a,n/a,n/a,n/a,n/a,308.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-18,AJB,A025GO 2018-12-22 Boldness C1 T2,2018-12-22,CL,A025GO,Boldness,Aviary,C1,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,902.40,OutOfView,902.40,n/a,n/a,n/a,
2020-02-18,AJB,A025GO 2018-12-22 Boldness C1 T3,2018-12-22,CL,A025GO,Boldness,Aviary,C1,1,3,47.40,n/a,49.80,n/a,n/a,n/a,n/a,n/a,n/a,308.80,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-18,AJB,A025GO 2018-12-25 Boldness C2 T1,2018-12-25,CL,A025GO,Boldness,Aviary,C2,1,1,36.20,n/a,38.20,n/a,n/a,n/a,n/a,n/a,n/a,319.80,n/a,n/a,n/a,No Solomon output excel file because not trial 2
