"","BirdID","TotalFoodEvents","Sex","PercentTerritoryShared","MaleSharesTerritoryWithOtherMale","SumFocalTime","NumFoodTypes","FoodTypesPerSec","NumForageTechs","ForageTechsPerSec","PropHumanFood","NumHumanFood","PropMicroHabitatHumSurface","PropMicroHabitatBuilding","PropMicroHabitatDumpster","PropMicroHabitatMiscHum","PropMicroHabitatNatGround","PropMicroHabitatRock","PropMicroHabitatShrub","PropMicroHabitatGrass","PropMicroHabitatTree","ShannonDiversityIndex","Phi","Lambda","DomRank","FlexibilityManipulated","MABavgLatencySwitch","Population","NumFollows","Notes","MaxBondStrength","Strength","Degree","SumFoodEvents","AvgCaloriesPer100g"
"49","Pernil",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Pico",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Pina",1,"F",NA,NA,1837,1,0.001,1,0.001,1,1,0,0.33,0,0,0.33,0,0,0,0.33,1.1,0.02105,7.11452,-0.066667,"No","312","CA",3,"",0.0714285714285714,0.0714285714285714,1,1,319
"52","Polvorones",13,"M",69.85,"Y",4206,6,0.001,4,0.001,0.33,2,0,0,0,0.17,0.33,0,0,0.17,0.33,1.33,0.04787,7.21281,0.96,"No","384","CA",6,"",NA,NA,NA,3,108.9
"53","Pozole",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Pupusa",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Quesadilla",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Queso",16,"M",99.63,"Y",4287,5,0.001,4,0.001,0.25,1,0.4,0,0,0,0,0,0,0,0.6,0.67,0.02706,3.50568,0.5,"No","-","AZ",5,"",NA,NA,NA,9,261.5
"57","Quiscalus",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Sincronizada",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
