BirdID,Test,Condition,Time,LatencyFirstLand,LatencyFirstTimeWithin20cmOfObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear.20cm,TotalDurationFar.20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,Site,,,
Mole,Object,Familiar,2,7,22.2,n/a,0,108.4,782.4,1899,Touch,2789.8,AZ,,,
Mole,Object,Novel,2,16.8,2589.4,n/a,0,3.6,1637.6,1101.6,Near,2742.8,AZ,,,
Habanero,Environment,Familiar,1,152.6,154,288.6,92.8,505.8,1251.2,862.6,Near,2712.4,AZ,,,
Habanero,Environment,Novel,1,234,234,n/a,0,193.2,1101.6,1422.4,Near,2717.2,AZ,,,
Habanero,Environment,Familiar,2,125.4,125.4,125.4,6.8,13,949.6,1622.4,Near,2591.8,AZ,,,
Habanero,Environment,Novel,2,336,469.2,n/a,0,18.2,572,2110.6,Near,2700.8,AZ,,,
Habanero,Object,Familiar,1,95.6,110.8,n/a,0,62,1809.6,913,Touch,2784.6,AZ,,,
Habanero,Object,Novel,1,207.8,859,n/a,0,16,1465.4,1233.4,Near,2714.8,AZ,,,
Habanero,Object,Familiar,2,1298.4,1438.6,n/a,0,12.8,1112.8,1588.6,Touch,2714.2,AZ,,,
Habanero,Object,Novel,2,1767.6,n/a,n/a,0,0,278.6,2436.8,Far,2715.4,AZ,,,
Tapa,Environment,Familiar,1,423.6,1394,n/a,0,34.6,89.6,2650.4,Near,2774.6,AZ,,,
Tapa,Environment,Novel,1,617.4,708.2,n/a,0,6.4,160.6,2543.6,Near,2710.6,AZ,,,
Tapa,Environment,Familiar,2,1267.2,1274.6,1276.8,8.8,14,64.8,2605.8,Near,2693.4,AZ,,,
Tapa,Environment,Novel,2,1950,2525.6,n/a,0,6.2,72.6,2635.2,Near,2714,AZ,,,
Tapa,Object,Familiar,1,51.4,1168.4,n/a,0,14.6,210,2548.4,Touch,2773,AZ,,,
Tapa,Object,Novel,1,NA,n/a,n/a,0,0,0,2732.4,OutOfView,2732.4,AZ,,,
Tapa,Object,Familiar,2,182,188.2,n/a,0,24,95.8,2593.8,Near,2713.6,AZ,,,
Tapa,Object,Novel,2,NA,n/a,n/a,0,0,0,3171.8,OutOfView,3171.8,AZ,,,
Fideo,Environment,Familiar,1,70.6,595.2,596,9.6,29.4,202.6,2483.6,Near,2725.2,AZ,,,
Fideo,Environment,Novel,1,NA,n/a,n/a,0,0,0,2734.2,OutOfView,2734.2,AZ,,,
Fideo,Environment,Familiar,2,725,730.6,742.4,6.4,15.4,283.6,2491.6,Near,2797,AZ,,,
