BirdID,Test,Condition,Time,LatencyFirstLand,LatencyFirstTimeWithin20cmOfObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear.20cm,TotalDurationFar.20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,Site,,,
Dulce,Environment,Familiar,2,0,7,145.6,16,74.8,1063.6,1578,Near,2732.2,CA,,,
Dulce,Environment,Novel,2,1092.2,n/a,n/a,0,0,346,2359.6,Far,2705.4,CA,,,
Kau,Environment,Familiar,1,106.6,106.8,124.6,101.8,238,2251.8,126,Near,2717.8,CA,,,
Kau,Environment,Novel,1,115,346.2,n/a,0,103.8,2493,122,Near,2718.6,CA,,,
Kau,Environment,Familiar,2,437.6,2329.8,2330.4,3.2,8,778.2,1948.8,Near,2738,CA,,,
Kau,Environment,Novel,2,103.4,271,n/a,0,126.8,2347.8,293.4,Near,2767.8,CA,,,
Galandra,Environment,Familiar,1,35.2,37.2,35.4,42.4,54.4,1751.8,869.4,Near,2717.8,CA,,,
Galandra,Environment,Novel,1,28.4,1699,n/a,0,3.4,1474.4,1241.8,Near,2719.4,CA,,,
Kel,Environment,Familiar,1,136.4,136.6,n/a,0,3.2,199,2467.4,Near,2669.4,CA,,,
Kel,Environment,Novel,1,1463.4,n/a,n/a,0,0,219.4,2496.8,Far,2716,CA,,,
Galandra,Environment,Familiar,2,25.6,26.2,25.8,29.4,14.4,1124.8,1564.6,Near,2733,CA,,,
Galandra,Environment,Novel,2,189.2,2311.2,n/a,0,23,1754,942.6,Near,2719.4,CA,,,
Kel,Environment,Familiar,2,481.4,503.8,504.2,9,7,117.6,2581.6,Near,2715.2,CA,,,
Kel,Environment,Novel,2,585.2,n/a,n/a,0,0,101,2605,Far,2705,CA,,,
Wachil,Environment,Familiar,1,378.4,442.4,444,69,48.4,716,1883,Near,2716.2,CA,,,
Wachil,Environment,Novel,1,1160.6,n/a,n/a,0,0,313,2419,Far,2731.8,CA,,,
Wachil,Environment,Familiar,2,176,n/a,n/a,0,0,469,2292.6,Far,2292.6,CA,,,
Wachil,Environment,Novel,2,1324.8,n/a,n/a,0,0,79,2645.8,Far,2724.6,CA,,,
Akxi,Environment,Familiar,1,0,100,97.6,5.4,3.6,194.8,2583.2,Near,2786.8,CA,,,
Akxi,Environment,Novel,1,1048,1217.6,n/a,0,5.6,181,2357.6,Near,2724,CA,,,
Akxi,Environment,Familiar,2,0,35.2,33.4,40.6,28,2393.2,264,Near,2725.6,CA,,,
Akxi,Environment,Novel,2,1079,n/a,n/a,0,0,421.2,2434.8,Far,2855.4,CA,,,
Cuervo,Environment,Familiar,1,0,1862.2,1861,1.2,0.4,450.2,2311.2,Near,2762.8,CA,,,
Cuervo,Environment,Novel,1,1234.6,1378,n/a,0,18.6,233.6,2455,Near,2707,CA,,,
Cuervo,Environment,Familiar,2,1078,1079,1079.4,2.2,3,417,2292.6,Near,2714.6,CA,,,
Cuervo,Environment,Novel,2,1618.8,67.6,n/a,0,67.6,633,2027.6,Near,2728,CA,,,
Zanate,Environment,Familiar,1,346,348,346.2,117.8,168.8,932.8,1537,Near,2756.2,CA,,,
Zanate,Environment,Novel,1,438.4,1746.6,n/a,0,23,1118.6,1578.6,Near,2720,CA,,,
Talingo,Environment,Familiar,1,709.8,710.4,710,36,20.8,163.6,2546.8,Near,2767,CA,,,
Talingo,Environment,Novel,1,1364.4,n/a,n/a,0,0,118.4,2293.8,Far,2412,CA,,,
Talingo,Environment,Familiar,2,1783.4,1784.4,1784.8,2.6,2.8,122.2,2587.4,Near,2714.8,CA,,,
Talingo,Environment,Novel,2,932.6,1354.4,n/a,0,8.4,619.4,2115.6,Near,2743.2,CA,,,
Bacmut,Environment,Familiar,1,1510.6,1514.8,n/a,0,0.4,121.8,2607.8,Near,2729.8,CA,,,
Bacmut,Environment,Novel,1,307,n/a,n/a,0,0,443,2334,Far,2776.8,CA,,,
Bacmut,Environment,Familiar,2,45,56,45.2,15,70,233,2508,Near,2825.8,CA,,,
Bacmut,Environment,Novel,2,304,360.2,n/a,0,55.2,174.8,2555.4,Near,2785.2,CA,,,
Xunub,Environment,Familiar,1,164.2,172.2,164.4,42.4,59.8,648,1988,Near,2738.2,CA,,,
Xunub,Environment,Novel,1,213.2,868,n/a,0,211.2,855.2,1725.4,Near,2791.6,CA,,,
Xunub,Environment,Familiar,2,69.6,69.8,n/a,0,2.4,634.2,2113.4,Near,2749.8,CA,,,
Xunub,Environment,Novel,2,106,230,n/a,0,42.6,923.2,1757.4,Near,2723,CA,,,
Changa,Environment,Familiar,1,50.6,51.6,50.8,8.6,17.4,226.8,2474.6,Near,2727.2,CA,,,
Changa,Environment,Novel,1,543.2,n/a,n/a,0,0,236.4,2483.2,Near,2719.4,CA,,,
Changa,Environment,Familiar,2,62,68.6,62.2,90,50.2,187.6,2409.8,Near,2737.4,CA,,,
Changa,Environment,Novel,2,1311.4,n/a,n/a,0,0,64.6,2663.6,Far,2728,CA,,,
Urraca,Environment,Familiar,1,758,760.6,758.2,16.6,15.2,86.2,2568.4,Near,2686.2,CA,,,
Urraca,Environment,Novel,1,614.8,n/a,n/a,0,0,158.8,2545.2,Far,2703.8,CA,,,
Urraca,Environment,Familiar,2,776.2,779.2,776.4,4,28.4,143.2,2552.8,Near,2728.2,CA,,,
Urraca,Environment,Novel,2,1267.8,n/a,n/a,0,0,41.2,2666.4,Far,2707.4,CA,,,
Cocinera,Environment,Familiar,1,659.8,660,685.4,16,23.6,367.2,2304,Near,2710.6,CA,,,
Cocinera,Environment,Novel,1,1186.8,n/a,n/a,0,0,87,2678.8,Far,2765.6,CA,,,
Cocinera,Environment,Familiar,2,508,508.6,508.2,1,0.6,196.4,2465,Near,2662.8,CA,,,
Cocinera,Environment,Novel,2,1248.6,n/a,n/a,0,0,115.8,2614.4,Far,2730,CA,,,
Tzanatl,Environment,Familiar,2,656.6,n/a,n/a,0,0,121.2,2608.4,Far,2729.4,CA,,,
Tzanatl,Environment,Familiar,1,46,48.2,46.2,3,1,1193.8,1512.4,Near,2710,CA,,,
Tzanatl,Environment,Novel,1,403.6,n/a,n/a,0,0,702,2034.6,Far,2736.4,CA,,,
Tzanatl,Environment,Novel,2,302.2,n/a,n/a,0,0,215.6,2475.2,Far,2690.6,CA,,,
Cutuy,Environment,Familiar,1,34.6,35.2,34.8,18.6,6,294,2418.2,Near,2736.6,CA,,,
Cutuy,Environment,Novel,1,520,1413.2,n/a,0,13.4,501,2218,Near,2732.2,CA,,,
Cutuy,Environment,Familiar,2,28.8,29,87.8,68,51.2,372.4,2249.8,Near,2741.2,CA,,,
Cutuy,Environment,Novel,2,38,763,n/a,0,389.4,306.4,2071.8,Near,2767.4,CA,,,
Quiscalus,Environment,Familiar,1,422.4,423.6,n/a,0,50.2,117.2,2559.8,Near,2727,CA,,,
Quiscalus,Environment,Novel,1,465.2,492.2,n/a,0,28.8,302.2,2394.8,Near,2725.6,CA,,,
Quiscalus,Environment,Familiar,2,160.4,160.6,161,21,50.2,313,2339.6,Near,2723.6,CA,,,
Quiscalus,Environment,Novel,2,377.4,450.4,n/a,0,28.4,108.6,2598.4,Near,2735.2,CA,,,
