"","BirdID","Test","Condition","Time","LatencyFirstLand","LatencyFirstTimeWithin20cmOfObject","LatencyFirstEnterTent","TotalDurationInTent","TotalDurationNear.20cm","TotalDurationFar.20cm","TotalDurationOutOfView","ClosestDistanceToApparatus","TrialDuration","TotalTouchesToApparatusPerVideo","SumTotalTouchesAcrossAllVideos","MotorActionsUsed","TotalNumberMotorActionsUsedForThisBirdInThisExperiment","Site"
"91","Diablo","Environment","Familiar",1,1435,"n/a","n/a",0,0,186.6,2533,"Far",2719.2,"n/a","n/a","n/a","n/a","AZ"
"94","Diablo","Environment","Novel",1,3400,"n/a","n/a",0,0,0,2716,"OutOfView",2716,"n/a","n/a","n/a","n/a","AZ"
"97","Diablo","Environment","Familiar",2,2257,"2797.4","n/a",0,0.2,341.2,2621,"Near",2962.2,"n/a","n/a","n/a","n/a","AZ"
"100","Diablo","Environment","Novel",2,3400,"n/a","n/a",0,0,0,2720.4,"OutOfView",2720.4,"n/a","0","n/a","0","AZ"
"101","Diablo","Object","Familiar",1,1562.2,"n/a","n/a",0,0,153,2720.2,"Far",2873,"n/a","n/a","n/a","n/a","AZ"
"102","Diablo","Object","Novel",1,3400,"n/a","n/a",0,0,0,3340,"OutOfView",3340,"n/a","n/a","n/a","n/a","AZ"
"105","Diablo","Object","Familiar",2,11.2,"2612","n/a",0,0.2,228.4,2500.6,"Near",2729,"n/a","n/a","n/a","n/a","AZ"
"108","Diablo","Object","Novel",2,3400,"n/a","n/a",0,0,0,2708.6,"OutOfView",2708.6,"n/a","0","n/a","0","AZ"
"111","Burrito","Environment","Familiar",1,383,"383","383",5.6,213.6,503.4,2199.8,"Near",2728.4,"n/a","n/a","n/a","n/a","AZ"
"114","Burrito","Environment","Novel",1,79.4,"131","573.6",15.8,648.2,311,1693.2,"Touch",2668,"51","n/a","PeckVert, PeckHorz, PeckUpDown, PeckOnTop, PushHorz, PullVert, PullHorz, GrabVert, GrabHorz, GrabUpDown, StandOnTop","n/a","AZ"
"117","Burrito","Environment","Familiar",2,51.8,"174","174.2",32.2,48.6,1067.8,1592.6,"Near",2740.8,"n/a","n/a","n/a","n/a","AZ"
"120","Burrito","Environment","Novel",2,5,"9.8","380.6",354.4,994.8,1011.6,391.2,"Touch",2751.6,"n/a","51","PushVert, GapeUpDown","13","AZ"
"123","Burrito","Object","Familiar",1,1.2,"43.8","n/a",0,212.6,531.2,1988,"Touch",2731.4,"51","n/a","PeckVert, GrabVert, PeckHorz, StandOnTop, PeckOnTop","n/a","AZ"
"126","Burrito","Object","Novel",1,1511.2,"n/a","n/a",0,0,251.8,2494.2,"Far",2745.8,"n/a","n/a","n/a","n/a","AZ"
"129","Burrito","Object","Familiar",2,0.8,"4.6","n/a",0,331.6,664.4,1731.8,"Touch",2727.6,"n/a","n/a","PeckUpDown","n/a","AZ"
"132","Burrito","Object","Novel",2,42.4,"n/a","n/a",0,0,734.8,1987.2,"Far",2721.6,"n/a","51","n/a","6","AZ"
"133","Taco","Environment","Familiar",1,266.4,"284.6","301.2",98,206.8,849.2,1565.6,"Near",2719.4,"n/a","n/a","n/a","n/a","AZ"
"134","Taco","Environment","Novel",1,61.2,"161.4","n/a",0,398.8,564.2,1805.8,"Touch",2768.6,"n/a","18","StandOnTop, PeckOnTop, PeckHorz, GapeUpDown","n/a","AZ"
"137","Taco","Environment","Familiar",2,1439.6,"1471.4","1989.2",10.8,284.2,929.6,1477.2,"Near",2701.4,"n/a","n/a","n/a","n/a","AZ"
"140","Taco","Environment","Novel",2,96,"135.2","347.2",1175.8,607.8,471,461,"Touch",2715.2,"33","51","PushHorz, PeckUpDown, GrabVert, PullHorz, GrabHorz, GrabUpDown, PushUpDown, PushVert, PeckVert, PullVert","14","AZ"
"141","Taco","Object","Familiar",1,257.2,"297.4","n/a",0,32.6,1370,1324.2,"Touch",2726.6,"6","n/a","StandOnTop, PeckOnTop, PeckVert","n/a","AZ"
"142","Taco","Object","Novel",1,1051.6,"n/a","n/a",0,0,273.4,2448.2,"Far",2721.4,"n/a","n/a","n/a","n/a","AZ"
"145","Taco","Object","Familiar",2,47,"51.4","n/a",0,261,1174.2,1280.6,"Touch",2717.4,"48","n/a","PeckHorz, PushVert, PeckUpDown, GapeUpDown, PullUpDown","n/a","AZ"
"148","Taco","Object","Novel",2,61.6,"n/a","n/a",0,0,1809.6,889.2,"Far",2698.4,"n/a","51","n/a","8","AZ"
"151","Adobo","Environment","Familiar",1,652,"1798.2","1831.4",176,195.8,953,1418.6,"Near",2743,"n/a","n/a","n/a","n/a","AZ"
"154","Adobo","Environment","Novel",1,874.6,"882.6","n/a",0,834.8,271.6,1621.2,"Touch",2727,"51","n/a","PeckVert, PeckHorz, PeckOnTop, PushVert, PushHorz, PushUpDown, PullVert, PullHorz, GrabVert, GrabHorz, GrabUpDown, StandOnTop","n/a","AZ"
"157","Adobo","Environment","Familiar",2,107.4,"388.4","388.8",136.4,418,1656.6,801.4,"Near",3012,"n/a","n/a","n/a","n/a","AZ"
"160","Adobo","Environment","Novel",2,1074.8,"11.2","n/a",0,1150.4,1276.2,290.4,"Touch",2716.6,"n/a","51","PushOnTop, PullUpDown, PullOnTop, GrabOnTop, GapeHorz, GapeUpDown","18","AZ"
"163","Adobo","Object","Familiar",1,173.6,"1","n/a",0,69,1347.4,1302.8,"Touch",2718.8,"4","n/a","PeckHorz, PeckVert","n/a","AZ"
"166","Adobo","Object","Novel",1,3400,"n/a","n/a",0,0,0,0,"OutOfView",2719.2,"n/a","n/a","n/a","n/a","AZ"
"169","Adobo","Object","Familiar",2,54.8,"0","n/a",0,108.8,849.4,1758.8,"Touch",2716.6,"n/a","n/a","n/a","n/a","AZ"
"172","Adobo","Object","Novel",2,312.4,"1188","n/a",0,0,2099.2,615.8,"Touch",2714.6,"4","8","PullHorz","3","AZ"
"175","Marisco","Environment","Familiar",1,1139.2,"0","0.8",24.8,42.8,193.8,2477,"Near",2738.2,"n/a","n/a","n/a","n/a","AZ"
"178","Marisco","Environment","Novel",1,1900,"n/a","n/a",0,0,2.6,2702,"Far",2704.4,"n/a","n/a","n/a","n/a","AZ"
"181","Marisco","Environment","Familiar",2,369.6,"428.4","369.6",2.2,28.2,322.8,2374,"Near",2726.8,"n/a","n/a","n/a","n/a","AZ"
"184","Marisco","Environment","Novel",2,3400,"n/a","n/a",0,0,0,2772.2,"OutOfView",2772.2,"n/a","0","n/a","0","AZ"
"187","Marisco","Object","Familiar",1,5.6,"55","n/a",0,19.8,1110.6,1581.2,"Touch",2711.2,"2","n/a","PeckVert","n/a","AZ"
"190","Marisco","Object","Novel",1,3400,"n/a","n/a",0,0,0,2716.4,"OutOfView",2716.4,"n/a","n/a","n/a","n/a","AZ"
"193","Marisco","Object","Familiar",2,208.8,"n/a","n/a",0,0,1088.2,1630,"Far",2717.8,"n/a","n/a","n/a","n/a","AZ"
"196","Marisco","Object","Novel",2,3400,"n/a","n/a",0,0,0,2718.8,"OutOfView",2718.8,"n/a","2","n/a","1","AZ"
"199","Chilaquile","Environment","Familiar",1,43,"161","161.4",59.2,154.2,216.8,2281.2,"Near",2713,"n/a","n/a","n/a","n/a","AZ"
"202","Chilaquile","Environment","Novel",1,629.6,"213.6","n/a",8.4,113.8,558.8,2041.6,"Touch",2713.8,"2","n/a","n/a","n/a","AZ"
"205","Chilaquile","Environment","Familiar",2,35.8,"35.8","95.8",33.4,384,841.2,1474.8,"Near",2733,"n/a","n/a","n/a","n/a","AZ"
"208","Chilaquile","Environment","Novel",2,121,"144.4","1044.6",8.8,935.4,201.6,1571.6,"Touch",2717.2,"49","51","PeckVert, PeckHorz, GrabVert, PullVert, GapeVert, PullHorz, GrabUpDown, PushHorz, StandOnTop","9","AZ"
"211","Chilaquile","Object","Familiar",1,1171,"1187.2","n/a",0,51.8,421.4,2239.8,"Touch",2712.8,"14","n/a","PeckVert","n/a","AZ"
"214","Chilaquile","Object","Novel",1,3400,"n/a","n/a",0,0,0,2717.4,"OutOfView",2717.4,"n/a","n/a","n/a","n/a","AZ"
"217","Chilaquile","Object","Familiar",2,21.2,"26","n/a",0,738.6,351.8,1618.4,"Touch",2714.6,"37","n/a","PeckHorz, StandOnTop, PeckOnTop, PeckUpDown, GrabUpDown, PullHorz","n/a","AZ"
"220","Chilaquile","Object","Novel",2,3400,"n/a","n/a",0,0,0,2713,"OutOfView",2713,"n/a","51","n/a","7","AZ"
"223","Yuca","Environment","Familiar",1,60,"827.2","832.6",1.2,19.2,519,2180.6,"Near",2719.2,"n/a","n/a","n/a","n/a","AZ"
"226","Yuca","Environment","Novel",1,624.6,"n/a","n/a",0,0,54.4,583.4,"Far",2710.6,"n/a","n/a","n/a","n/a","AZ"
"229","Yuca","Environment","Familiar",2,2548,"392.4","392.8",0.6,0.6,165.4,2627.4,"Near",2793.8,"n/a","n/a","n/a","n/a","AZ"
"232","Yuca","Environment","Novel",2,924.6,"931.6","n/a",0,31,289.8,1789.8,"Near",2713.4,"n/a","n/a","n/a","0","AZ"
"235","Yuca","Object","Familiar",1,21.2,"44.6","n/a",0,10,547.6,2183.4,"Far",2740.6,"n/a","n/a","n/a","n/a","AZ"
"238","Yuca","Object","Novel",1,987.2,"n/a","n/a",0,0,237.6,2476.6,"Far",2713.8,"n/a","n/a","n/a","n/a","AZ"
"241","Yuca","Object","Familiar",2,11,"15.6","n/a",0,123.2,100.2,2511.6,"Touch",2734.6,"32","n/a","PeckVert, PeckHorz, GapeUpDown, GapeVert, StandOnTop, PeckOnTop, PushVert, GrabVert","n/a","AZ"
"244","Yuca","Object","Novel",2,271.4,"n/a","n/a",0,0,334.4,2385,"Far",2719.2,"n/a","32","n/a","8","AZ"
"247","Pizza","Environment","Familiar",1,190.6,"223","223.2",42.8,4.6,384.8,2319.2,"Near",2751.2,"n/a","n/a","n/a","n/a","AZ"
"250","Pizza","Environment","Novel",1,1462,"n/a","n/a",0,0,125.4,2587.6,"Far",2712.8,"n/a","n/a","n/a","n/a","AZ"
"253","Pizza","Environment","Familiar",2,1422.6,"1440.2","1440.8",1.6,34.8,468.8,1546.4,"Near",2729.2,"n/a","n/a","n/a","n/a","AZ"
"256","Pizza","Environment","Novel",2,1399.4,"n/a","n/a",0,0,178,2544.8,"Far",2722.6,"n/a","0","n/a","0","AZ"
"259","Pizza","Object","Familiar",1,62.2,"n/a","n/a",0,0,123.6,3067.6,"Far",3191,"n/a","n/a","n/a","n/a","AZ"
"262","Pizza","Object","Novel",1,1563.2,"n/a","n/a",0,0,178,2480.2,"Far",2732.6,"n/a","n/a","n/a","n/a","AZ"
"265","Pizza","Object","Familiar",2,1092.6,"n/a","n/a",0,0,215.6,1895.4,"Far",2110.8,"n/a","n/a","n/a","n/a","AZ"
"268","Pizza","Object","Novel",2,595,"n/a","n/a",0,0,208.2,2503.6,"Far",2711.4,"n/a","0","n/a","0","AZ"
"271","Mofongo","Environment","Familiar",1,797,"797","797",22.2,146.4,593.4,1968.2,"Near",2729.8,"n/a","n/a","n/a","n/a","AZ"
"274","Mofongo","Environment","Novel",1,89.8,"92.8","n/a",0,138.6,1365.2,1222,"Touch",2725.4,"1","n/a","StandOnTop","n/a","AZ"
"277","Mofongo","Environment","Familiar",2,337.8,"337.8","n/a",0,31.6,152.6,2531.8,"Near",2715.6,"n/a","n/a","n/a","n/a","AZ"
"280","Mofongo","Environment","Novel",2,45.8,"50.8","n/a",0,11,355.8,2392.8,"Near",2762.2,"n/a","1","n/a","1","AZ"
"283","Mofongo","Object","Familiar",1,1282.6,"n/a","n/a",0,0,126.8,2577.2,"Far",2703.8,"n/a","n/a","n/a","n/a","AZ"
"286","Mofongo","Object","Novel",1,1889.2,"n/a","n/a",0,0,419.6,2419.6,"Far",2838.8,"n/a","n/a","n/a","n/a","AZ"
"289","Mofongo","Object","Familiar",2,41.8,"50","n/a",0,2.8,2074.4,636.8,"Near",2713.6,"n/a","n/a","n/a","n/a","AZ"
"292","Mofongo","Object","Novel",2,72,"n/a","n/a",0,0,2242.4,492.2,"Far",2734.2,"n/a","0","n/a","0","AZ"
"295","Pollito","Environment","Familiar",1,929.2,"929.2","1000.4",3.6,11.8,109.4,2596.2,"Near",2720.6,"n/a","n/a","n/a","n/a","AZ"
"298","Pollito","Environment","Novel",1,918.2,"926.8","n/a",0,95.4,314.8,2305,"Near",2714.8,"n/a","n/a","n/a","n/a","AZ"
"301","Pollito","Environment","Familiar",2,236.6,"236.6","1454",9.8,171.2,307.8,2232.6,"Near",2721.2,"n/a","n/a","n/a","n/a","AZ"
"304","Pollito","Environment","Novel",2,891,"892.8","n/a",0,258.6,611.2,1854,"Near",2723.6,"n/a","0","n/a","0","AZ"
"307","Pollito","Object","Familiar",1,1995.4,"n/a","n/a",0,0,156.4,2583.2,"Far",2739.2,"n/a","n/a","n/a","n/a","AZ"
"310","Pollito","Object","Novel",1,1649.8,"n/a","n/a",0,0,88.4,2634,"Far",2722.2,"n/a","n/a","n/a","n/a","AZ"
"313","Pollito","Object","Familiar",2,2255,"n/a","n/a",0,0,6,2714,"Far",2719.8,"n/a","n/a","n/a","n/a","AZ"
"316","Pollito","Object","Novel",2,646.4,"n/a","n/a",0,0,79.8,2636.2,"Far",2715.8,"n/a","0","n/a","0","AZ"
